Student ID,GPA,Accepted,Undergraduate Major,Extracurricular Activities,Projects,Skills
1,3.6639950556843015,0,Engineering,Internship,Big Data Analysis with Spark,"Data Cleaning, Software Development, Database Management"
2,3.8464507394322007,1,Other,Volunteer Work,Data Visualization Dashboard using Power BI,"Machine Learning, Cloud Computing, Data Cleaning"
3,3.858614494659736,1,Computer Science,None,Predictive Maintenance System using IoT,"Statistical Analysis, Database Management, AI and Deep Learning"
4,3.657129716394726,0,Engineering,None,Real-Time Data Processing with Apache Kafka,"Web Development, AI and Deep Learning, Statistical Analysis"
5,4.0,0,Computer Science,Research,Capstone Project: AI-Powered Chatbot,"Cloud Computing, Data Cleaning, Machine Learning"
6,3.8947665841823573,0,Engineering,None,Machine Learning Model for Predictive Analysis,"Problem Solving, Web Development, AI and Deep Learning"
7,3.56173930055947,0,Computer Science,Volunteer Work,Capstone Project: AI-Powered Chatbot,"Statistical Analysis, Data Cleaning, Problem Solving"
8,3.9313107217267658,1,Computer Science,Internship,Big Data Analysis with Spark,"Problem Solving, Cloud Computing, Software Development"
9,3.6050636659545354,0,Computer Science,Research,Capstone Project: AI-Powered Chatbot,"Web Development, Problem Solving, Software Development"
10,3.95741692074849,1,Mathematics,Research,Deep Learning for Image Recognition,"Data Cleaning, Cloud Computing, AI and Deep Learning"
11,4.0,0,Physics,Internship,Financial Forecasting with Time Series Analysis,"Problem Solving, Database Management, Software Development"
12,3.6358635363296576,1,Mathematics,None,Machine Learning Model for Predictive Analysis,"Software Development, AI and Deep Learning, Data Cleaning"
13,3.9926752258488643,1,Other,Internship,Sentiment Analysis on Social Media Data,"Data Cleaning, Problem Solving, Software Development"
14,3.8825561853872994,0,Engineering,None,Big Data Analysis with Spark,"Problem Solving, Web Development, Statistical Analysis"
15,3.964412031998898,0,Engineering,Internship,Machine Learning Model for Predictive Analysis,"Statistical Analysis, Database Management, Cloud Computing"
16,4.0,0,Chemistry,Volunteer Work,Capstone Project: AI-Powered Chatbot,"Software Development, Machine Learning, Problem Solving"
17,3.7509223767994255,0,Computer Science,None,Deep Learning for Image Recognition,"Data Visualization, Data Cleaning, Database Management"
18,3.6492527671285018,0,Other,Volunteer Work,Web Application Development using Flask,"Web Development, Statistical Analysis, Data Cleaning"
19,3.622097114074895,0,Computer Science,Research,Real-Time Data Processing with Apache Kafka,"Statistical Analysis, Data Cleaning, Cloud Computing"
20,3.636837943006912,0,Other,Internship,Sentiment Analysis on Social Media Data,"Statistical Analysis, Data Cleaning, Data Visualization"
21,3.784579658117179,0,Computer Science,Research,Real-Time Data Processing with Apache Kafka,"Machine Learning, Data Cleaning, Database Management"
22,3.8682303949633288,0,Chemistry,Research,Machine Learning Model for Predictive Analysis,"Data Cleaning, Data Visualization, Software Development"
23,3.8553381598660037,0,Mathematics,Research,Deep Learning for Image Recognition,"Data Cleaning, AI and Deep Learning, Software Development"
24,3.9654366498072045,0,Other,Research,Deep Learning for Image Recognition,"Web Development, Data Cleaning, AI and Deep Learning"
25,3.802600378375581,0,Computer Science,Internship,Capstone Project: AI-Powered Chatbot,"Statistical Analysis, Machine Learning, AI and Deep Learning"
26,4.0,1,Mathematics,Research,Predictive Maintenance System using IoT,"Web Development, Software Development, Problem Solving"
27,3.747068633352409,0,Other,Internship,Capstone Project: AI-Powered Chatbot,"Problem Solving, Web Development, Cloud Computing"
28,4.0,0,Mathematics,Internship,Predictive Maintenance System using IoT,"Software Development, Data Visualization, Data Cleaning"
29,3.925133469553001,0,Mathematics,Volunteer Work,Predictive Maintenance System using IoT,"AI and Deep Learning, Web Development, Problem Solving"
30,3.628568488716743,0,Mathematics,None,Sentiment Analysis on Social Media Data,"Cloud Computing, Database Management, Data Cleaning"
31,3.5858215003877776,0,Engineering,None,Capstone Project: AI-Powered Chatbot,"Problem Solving, Statistical Analysis, Machine Learning"
32,3.8964944830486368,0,Mathematics,Internship,Web Application Development using Flask,"Database Management, Data Visualization, Cloud Computing"
33,3.7553074429348294,0,Mathematics,Volunteer Work,Data Visualization Dashboard using Power BI,"Data Cleaning, Statistical Analysis, Machine Learning"
34,3.9428000988184184,1,Other,Internship,Data Visualization Dashboard using Power BI,"AI and Deep Learning, Statistical Analysis, Data Cleaning"
35,3.894647524914709,1,Computer Science,Internship,Capstone Project: AI-Powered Chatbot,"Database Management, Problem Solving, Cloud Computing"
36,3.7854342174686253,1,Engineering,Internship,Capstone Project: AI-Powered Chatbot,"Database Management, AI and Deep Learning, Software Development"
37,3.6306412563863186,0,Other,Volunteer Work,Real-Time Data Processing with Apache Kafka,"Problem Solving, AI and Deep Learning, Data Visualization"
38,3.497030555062827,0,Chemistry,None,Sentiment Analysis on Social Media Data,"Problem Solving, Cloud Computing, Database Management"
39,3.7106970095865957,1,Engineering,Volunteer Work,Capstone Project: AI-Powered Chatbot,"AI and Deep Learning, Data Cleaning, Web Development"
40,3.971279758864694,0,Mathematics,Research,Real-Time Data Processing with Apache Kafka,"Software Development, Database Management, Problem Solving"
41,3.8428187488260406,0,Engineering,Volunteer Work,Predictive Maintenance System using IoT,"Web Development, Data Visualization, Problem Solving"
42,3.550852244257602,0,Computer Science,Volunteer Work,Deep Learning for Image Recognition,"Cloud Computing, Database Management, Statistical Analysis"
43,3.834636185170236,0,Engineering,Volunteer Work,Deep Learning for Image Recognition,"Data Visualization, AI and Deep Learning, Problem Solving"
44,3.8770634759457674,1,Engineering,Volunteer Work,Predictive Maintenance System using IoT,"Data Cleaning, Problem Solving, Machine Learning"
45,3.6232285127597734,0,Mathematics,None,Big Data Analysis with Spark,"Database Management, Machine Learning, Data Cleaning"
46,3.8307450211891054,0,Computer Science,Research,Real-Time Data Processing with Apache Kafka,"Data Cleaning, Problem Solving, Web Development"
47,3.8116417436892,0,Other,None,Real-Time Data Processing with Apache Kafka,"Cloud Computing, Web Development, Data Cleaning"
48,3.571405940433875,0,Other,None,Predictive Maintenance System using IoT,"Software Development, Database Management, Data Cleaning"
49,3.8715574720696564,0,Mathematics,Volunteer Work,Web Application Development using Flask,"Machine Learning, Problem Solving, Web Development"
50,3.9121569052736467,0,Mathematics,Internship,Financial Forecasting with Time Series Analysis,"Database Management, Web Development, Statistical Analysis"
51,4.0,1,Engineering,Internship,Machine Learning Model for Predictive Analysis,"Software Development, Machine Learning, Web Development"
52,4.0,1,Chemistry,None,Predictive Maintenance System using IoT,"Problem Solving, Cloud Computing, Data Visualization"
53,3.5244661264085817,1,Mathematics,None,Capstone Project: AI-Powered Chatbot,"AI and Deep Learning, Data Cleaning, Web Development"
54,3.612434992016975,1,Computer Science,Volunteer Work,Capstone Project: AI-Powered Chatbot,"Statistical Analysis, Machine Learning, Data Visualization"
55,3.9030070534417316,0,Other,None,Sentiment Analysis on Social Media Data,"Problem Solving, Software Development, Database Management"
56,3.9027571901824416,1,Chemistry,Volunteer Work,Predictive Maintenance System using IoT,"Data Visualization, Data Cleaning, Software Development"
57,3.9030095372612092,0,Other,Internship,Sentiment Analysis on Social Media Data,"Data Cleaning, Software Development, Machine Learning"
58,4.0,0,Physics,Internship,Predictive Maintenance System using IoT,"Database Management, Cloud Computing, Machine Learning"
59,3.9141781021386333,0,Mathematics,Research,Real-Time Data Processing with Apache Kafka,"Problem Solving, Machine Learning, Software Development"
60,4.0,0,Engineering,Internship,Machine Learning Model for Predictive Analysis,"Problem Solving, Machine Learning, Cloud Computing"
61,3.99080035269864,0,Other,None,Real-Time Data Processing with Apache Kafka,"Database Management, Web Development, Data Visualization"
62,3.9302782502611593,0,Chemistry,Internship,Financial Forecasting with Time Series Analysis,"Machine Learning, Data Cleaning, Web Development"
63,3.7369461510719306,1,Computer Science,Volunteer Work,Deep Learning for Image Recognition,"Statistical Analysis, Problem Solving, Web Development"
64,3.9517938440986535,0,Computer Science,Internship,Data Visualization Dashboard using Power BI,"Database Management, Data Visualization, Web Development"
65,3.6454349570924856,0,Engineering,Research,Predictive Maintenance System using IoT,"Database Management, Cloud Computing, Problem Solving"
66,3.7526362786519982,0,Chemistry,Internship,Financial Forecasting with Time Series Analysis,"Software Development, Web Development, Database Management"
67,3.7029272904341792,0,Other,Volunteer Work,Deep Learning for Image Recognition,"Statistical Analysis, Web Development, Cloud Computing"
68,3.8163748278772642,1,Computer Science,Volunteer Work,Big Data Analysis with Spark,"Machine Learning, Web Development, Problem Solving"
69,4.0,0,Mathematics,None,Machine Learning Model for Predictive Analysis,"Software Development, Problem Solving, Data Cleaning"
70,3.42654696148165,1,Engineering,Internship,Sentiment Analysis on Social Media Data,"Problem Solving, Web Development, Database Management"
71,3.9372520380749023,1,Other,Volunteer Work,Sentiment Analysis on Social Media Data,"Data Cleaning, Machine Learning, Cloud Computing"
72,3.4774568257620695,0,Chemistry,Research,Real-Time Data Processing with Apache Kafka,"Machine Learning, Database Management, Data Cleaning"
73,3.705613626842113,0,Chemistry,None,Capstone Project: AI-Powered Chatbot,"Machine Learning, Statistical Analysis, Cloud Computing"
74,4.0,1,Engineering,Research,Deep Learning for Image Recognition,"Machine Learning, Cloud Computing, Problem Solving"
75,3.812856003819092,1,Engineering,Internship,Big Data Analysis with Spark,"Data Cleaning, AI and Deep Learning, Data Visualization"
76,3.5844510444141386,1,Engineering,Internship,Financial Forecasting with Time Series Analysis,"Problem Solving, Database Management, Data Visualization"
77,3.656939258148006,1,Computer Science,Internship,Machine Learning Model for Predictive Analysis,"Machine Learning, Web Development, Data Visualization"
78,3.935919549786935,0,Chemistry,None,Deep Learning for Image Recognition,"AI and Deep Learning, Database Management, Cloud Computing"
79,3.6539266736565725,0,Chemistry,Volunteer Work,Big Data Analysis with Spark,"Machine Learning, Database Management, Cloud Computing"
80,3.843291717916395,0,Other,None,Data Visualization Dashboard using Power BI,"Problem Solving, Statistical Analysis, AI and Deep Learning"
81,3.8091143679807624,1,Other,Research,Predictive Maintenance System using IoT,"Database Management, Software Development, Machine Learning"
82,3.6696799304788366,0,Mathematics,None,Sentiment Analysis on Social Media Data,"Machine Learning, AI and Deep Learning, Data Visualization"
83,4.0,0,Physics,Research,Financial Forecasting with Time Series Analysis,"Problem Solving, Data Cleaning, Database Management"
84,3.926783804463602,0,Other,None,Sentiment Analysis on Social Media Data,"Problem Solving, Software Development, Cloud Computing"
85,3.3949714826684785,0,Chemistry,Volunteer Work,Financial Forecasting with Time Series Analysis,"Software Development, Machine Learning, Statistical Analysis"
86,3.8372908629538856,0,Computer Science,Research,Real-Time Data Processing with Apache Kafka,"Cloud Computing, AI and Deep Learning, Data Visualization"
87,3.6676427070463222,1,Engineering,Internship,Capstone Project: AI-Powered Chatbot,"Web Development, Data Visualization, Cloud Computing"
88,3.9704866669592445,0,Computer Science,Internship,Financial Forecasting with Time Series Analysis,"Machine Learning, AI and Deep Learning, Software Development"
89,3.6414958523134597,1,Other,None,Sentiment Analysis on Social Media Data,"Cloud Computing, AI and Deep Learning, Data Cleaning"
90,3.77705271170662,0,Mathematics,Internship,Real-Time Data Processing with Apache Kafka,"AI and Deep Learning, Statistical Analysis, Data Visualization"
91,3.9009974557960914,0,Computer Science,Research,Financial Forecasting with Time Series Analysis,"Data Cleaning, Machine Learning, Software Development"
92,3.973151038834024,1,Mathematics,Internship,Data Visualization Dashboard using Power BI,"Machine Learning, Statistical Analysis, Database Management"
93,3.5599407185888445,1,Mathematics,Volunteer Work,Capstone Project: AI-Powered Chatbot,"Database Management, Machine Learning, Cloud Computing"
94,3.73309975283181,0,Engineering,Volunteer Work,Financial Forecasting with Time Series Analysis,"Statistical Analysis, Problem Solving, Data Visualization"
95,3.7050109377678084,1,Computer Science,None,Real-Time Data Processing with Apache Kafka,"Software Development, Database Management, Statistical Analysis"
96,3.6693341534852575,0,Mathematics,Research,Deep Learning for Image Recognition,"Database Management, Data Cleaning, Cloud Computing"
97,4.0,0,Mathematics,Volunteer Work,Web Application Development using Flask,"Data Visualization, AI and Deep Learning, Data Cleaning"
98,3.880996342192191,0,Physics,Volunteer Work,Big Data Analysis with Spark,"Web Development, Data Cleaning, Statistical Analysis"
99,3.5478232091329907,0,Mathematics,Research,Web Application Development using Flask,"Data Cleaning, Cloud Computing, Data Visualization"
100,3.983572389410955,0,Chemistry,Internship,Web Application Development using Flask,"Software Development, AI and Deep Learning, Machine Learning"
101,4.0,0,Mathematics,Internship,Machine Learning Model for Predictive Analysis,"Data Visualization, Statistical Analysis, Problem Solving"
102,4.0,0,Mathematics,None,Data Visualization Dashboard using Power BI,"Data Visualization, Cloud Computing, Data Cleaning"
103,3.496126006809197,0,Chemistry,Internship,Deep Learning for Image Recognition,"Software Development, Database Management, AI and Deep Learning"
104,3.7031531854267494,0,Engineering,Research,Predictive Maintenance System using IoT,"AI and Deep Learning, Data Cleaning, Statistical Analysis"
105,4.0,1,Computer Science,Volunteer Work,Financial Forecasting with Time Series Analysis,"Cloud Computing, Machine Learning, Data Cleaning"
106,3.6584661068762436,0,Computer Science,Internship,Big Data Analysis with Spark,"Problem Solving, Data Cleaning, Machine Learning"
107,3.8887638856292455,0,Physics,None,Capstone Project: AI-Powered Chatbot,"Cloud Computing, Data Visualization, Machine Learning"
108,3.9549268106858673,1,Mathematics,Internship,Deep Learning for Image Recognition,"AI and Deep Learning, Machine Learning, Software Development"
109,3.6146139056843833,0,Physics,Research,Sentiment Analysis on Social Media Data,"Machine Learning, Data Visualization, Data Cleaning"
110,3.7880949287876398,0,Computer Science,None,Predictive Maintenance System using IoT,"Web Development, Software Development, Data Cleaning"
111,3.151746531986185,0,Computer Science,Internship,Machine Learning Model for Predictive Analysis,"Statistical Analysis, Web Development, Data Cleaning"
112,3.595122471733142,0,Computer Science,None,Machine Learning Model for Predictive Analysis,"Web Development, Data Visualization, Database Management"
113,3.749486369721368,1,Engineering,Research,Deep Learning for Image Recognition,"Web Development, Problem Solving, Data Visualization"
114,3.55044336360703,1,Mathematics,Volunteer Work,Real-Time Data Processing with Apache Kafka,"Web Development, Cloud Computing, AI and Deep Learning"
115,4.0,0,Engineering,Research,Web Application Development using Flask,"Problem Solving, Machine Learning, Data Cleaning"
116,3.5139717244078734,1,Engineering,Research,Sentiment Analysis on Social Media Data,"Database Management, Data Cleaning, Software Development"
117,3.711991102660603,1,Other,Research,Machine Learning Model for Predictive Analysis,"Statistical Analysis, Problem Solving, Cloud Computing"
118,3.826148115457218,0,Engineering,Research,Big Data Analysis with Spark,"Statistical Analysis, Software Development, Database Management"
119,4.0,1,Mathematics,Volunteer Work,Machine Learning Model for Predictive Analysis,"Machine Learning, Statistical Analysis, Cloud Computing"
120,3.512827569764112,0,Physics,Volunteer Work,Capstone Project: AI-Powered Chatbot,"Data Cleaning, Database Management, Data Visualization"
121,4.0,1,Engineering,None,Financial Forecasting with Time Series Analysis,"Data Visualization, Software Development, Web Development"
122,3.802046612203917,1,Mathematics,Internship,Machine Learning Model for Predictive Analysis,"Problem Solving, Data Visualization, Database Management"
123,3.6036982697904096,0,Chemistry,Volunteer Work,Capstone Project: AI-Powered Chatbot,"Machine Learning, Data Cleaning, Cloud Computing"
124,3.892420694852654,0,Other,Volunteer Work,Deep Learning for Image Recognition,"Software Development, Machine Learning, Database Management"
125,3.8398119391146937,0,Computer Science,Internship,Deep Learning for Image Recognition,"Database Management, Problem Solving, Machine Learning"
126,3.679956624568241,0,Other,Volunteer Work,Predictive Maintenance System using IoT,"Statistical Analysis, Problem Solving, Database Management"
127,3.8139604169980035,1,Engineering,Research,Machine Learning Model for Predictive Analysis,"AI and Deep Learning, Machine Learning, Data Visualization"
128,3.7229372806276477,1,Engineering,Research,Big Data Analysis with Spark,"Web Development, AI and Deep Learning, Database Management"
129,3.8227034690502495,0,Engineering,Internship,Machine Learning Model for Predictive Analysis,"Software Development, Web Development, Data Cleaning"
130,3.932426134904209,0,Other,None,Big Data Analysis with Spark,"Software Development, Web Development, Data Cleaning"
131,4.0,0,Engineering,None,Data Visualization Dashboard using Power BI,"Database Management, AI and Deep Learning, Problem Solving"
132,3.55243690023463,0,Engineering,Internship,Predictive Maintenance System using IoT,"Software Development, Machine Learning, Database Management"
133,4.0,0,Mathematics,Internship,Data Visualization Dashboard using Power BI,"Software Development, Web Development, Problem Solving"
134,3.4095824400954995,0,Computer Science,Research,Machine Learning Model for Predictive Analysis,"Machine Learning, Software Development, Database Management"
135,3.769642980992883,1,Computer Science,None,Predictive Maintenance System using IoT,"Machine Learning, Statistical Analysis, Problem Solving"
136,3.917663441296915,0,Computer Science,Volunteer Work,Data Visualization Dashboard using Power BI,"Web Development, Database Management, Problem Solving"
137,3.8561983735470062,0,Computer Science,Research,Web Application Development using Flask,"Data Visualization, Data Cleaning, Web Development"
138,3.675460096035881,1,Computer Science,Internship,Machine Learning Model for Predictive Analysis,"Web Development, Problem Solving, Data Cleaning"
139,3.758375549928545,0,Computer Science,None,Data Visualization Dashboard using Power BI,"Data Visualization, Web Development, Machine Learning"
140,3.701399813068233,1,Mathematics,Volunteer Work,Web Application Development using Flask,"Machine Learning, AI and Deep Learning, Software Development"
141,3.6821270486111577,1,Computer Science,Volunteer Work,Web Application Development using Flask,"Cloud Computing, Machine Learning, Statistical Analysis"
142,3.969920419404205,0,Engineering,Research,Deep Learning for Image Recognition,"Software Development, Statistical Analysis, Data Cleaning"
143,3.871403097193009,0,Chemistry,None,Machine Learning Model for Predictive Analysis,"Cloud Computing, Data Visualization, Problem Solving"
144,3.661418080947869,0,Engineering,None,Web Application Development using Flask,"Web Development, Problem Solving, Data Visualization"
145,3.97991997508665,0,Mathematics,Internship,Deep Learning for Image Recognition,"Problem Solving, Machine Learning, Data Cleaning"
146,3.8614599041753217,0,Computer Science,None,Data Visualization Dashboard using Power BI,"Machine Learning, Statistical Analysis, Web Development"
147,3.9625724237677917,0,Computer Science,None,Capstone Project: AI-Powered Chatbot,"Machine Learning, Statistical Analysis, Data Cleaning"
148,3.9259257683847224,0,Computer Science,Research,Machine Learning Model for Predictive Analysis,"Statistical Analysis, Web Development, Data Cleaning"
149,3.6342009978155856,0,Computer Science,None,Predictive Maintenance System using IoT,"Cloud Computing, Software Development, AI and Deep Learning"
150,3.687963791960606,0,Engineering,Volunteer Work,Big Data Analysis with Spark,"Machine Learning, Web Development, Software Development"
151,3.9494587210246523,1,Computer Science,Research,Big Data Analysis with Spark,"Cloud Computing, Software Development, Problem Solving"
152,3.9220740530866927,0,Computer Science,Research,Data Visualization Dashboard using Power BI,"Statistical Analysis, Web Development, Data Visualization"
153,3.79581968120717,0,Computer Science,Internship,Real-Time Data Processing with Apache Kafka,"Problem Solving, Data Cleaning, Cloud Computing"
154,3.8234654766617564,0,Engineering,None,Real-Time Data Processing with Apache Kafka,"Data Visualization, Database Management, Software Development"
155,4.0,1,Computer Science,Internship,Data Visualization Dashboard using Power BI,"Data Visualization, Cloud Computing, Statistical Analysis"
156,3.681685722232834,0,Engineering,Volunteer Work,Web Application Development using Flask,"Software Development, Cloud Computing, Data Visualization"
157,3.9094194762340075,1,Mathematics,Research,Machine Learning Model for Predictive Analysis,"Machine Learning, Data Visualization, Database Management"
158,3.759561469513221,1,Mathematics,Research,Big Data Analysis with Spark,"Software Development, AI and Deep Learning, Web Development"
159,3.756463759354556,0,Computer Science,Research,Big Data Analysis with Spark,"Statistical Analysis, Database Management, Cloud Computing"
160,4.0,1,Physics,Volunteer Work,Web Application Development using Flask,"Web Development, Statistical Analysis, Data Cleaning"
161,3.965083269797606,0,Mathematics,Volunteer Work,Big Data Analysis with Spark,"Machine Learning, Problem Solving, Web Development"
162,3.9627019272001274,0,Computer Science,Internship,Predictive Maintenance System using IoT,"Database Management, Software Development, Web Development"
163,4.0,0,Chemistry,Internship,Machine Learning Model for Predictive Analysis,"Database Management, Data Cleaning, Web Development"
164,3.8042007683265515,0,Other,Internship,Financial Forecasting with Time Series Analysis,"Cloud Computing, AI and Deep Learning, Software Development"
165,3.9363905942589925,0,Computer Science,None,Big Data Analysis with Spark,"Machine Learning, Problem Solving, Web Development"
166,3.7379466486813087,1,Engineering,Research,Data Visualization Dashboard using Power BI,"Data Cleaning, Data Visualization, Database Management"
167,3.864833270497688,0,Chemistry,Research,Predictive Maintenance System using IoT,"Software Development, Machine Learning, Data Cleaning"
168,3.773971389126463,0,Physics,Internship,Big Data Analysis with Spark,"Data Visualization, Problem Solving, Software Development"
169,3.8193991929985436,0,Computer Science,Research,Predictive Maintenance System using IoT,"Machine Learning, Statistical Analysis, Problem Solving"
170,3.9190314050873827,0,Computer Science,Internship,Deep Learning for Image Recognition,"Cloud Computing, Web Development, Problem Solving"
171,3.6363558633533053,1,Engineering,None,Financial Forecasting with Time Series Analysis,"Software Development, Database Management, Problem Solving"
172,4.0,0,Engineering,None,Sentiment Analysis on Social Media Data,"Cloud Computing, Software Development, Problem Solving"
173,3.5987965237000594,0,Mathematics,Volunteer Work,Data Visualization Dashboard using Power BI,"Web Development, Software Development, Machine Learning"
174,3.5571622774424534,0,Engineering,None,Data Visualization Dashboard using Power BI,"Problem Solving, AI and Deep Learning, Data Cleaning"
175,4.0,0,Engineering,Internship,Machine Learning Model for Predictive Analysis,"Software Development, Machine Learning, Problem Solving"
176,3.958332538792587,0,Physics,None,Predictive Maintenance System using IoT,"AI and Deep Learning, Software Development, Database Management"
177,3.924823963410431,1,Computer Science,Volunteer Work,Web Application Development using Flask,"Problem Solving, Web Development, Machine Learning"
178,3.925669101852856,0,Engineering,Research,Data Visualization Dashboard using Power BI,"Software Development, Cloud Computing, Web Development"
179,3.7975506454306167,1,Physics,Internship,Predictive Maintenance System using IoT,"Web Development, Machine Learning, Software Development"
180,3.6205491257028335,0,Chemistry,Research,Predictive Maintenance System using IoT,"Software Development, Data Cleaning, Data Visualization"
181,3.815160911638745,0,Mathematics,Volunteer Work,Capstone Project: AI-Powered Chatbot,"Problem Solving, Machine Learning, Data Visualization"
182,3.6645676576975776,0,Mathematics,Volunteer Work,Capstone Project: AI-Powered Chatbot,"Software Development, Database Management, Cloud Computing"
183,3.99502394668355,1,Computer Science,Volunteer Work,Sentiment Analysis on Social Media Data,"Data Visualization, Problem Solving, Web Development"
184,3.770588523699572,1,Engineering,Research,Deep Learning for Image Recognition,"Web Development, Software Development, Problem Solving"
185,3.6349005606414977,0,Mathematics,Research,Sentiment Analysis on Social Media Data,"Statistical Analysis, AI and Deep Learning, Cloud Computing"
186,3.7357228316694013,0,Computer Science,Research,Big Data Analysis with Spark,"Software Development, Statistical Analysis, Machine Learning"
187,3.8825862908551247,1,Engineering,Research,Web Application Development using Flask,"Data Cleaning, Web Development, Cloud Computing"
188,3.687255089439205,0,Engineering,Volunteer Work,Big Data Analysis with Spark,"Cloud Computing, Data Cleaning, Database Management"
189,3.6355559208867136,0,Computer Science,Volunteer Work,Real-Time Data Processing with Apache Kafka,"Data Visualization, Web Development, Machine Learning"
190,3.848737442298382,0,Engineering,Internship,Big Data Analysis with Spark,"Software Development, Web Development, Cloud Computing"
191,3.8489933142217443,0,Computer Science,Internship,Machine Learning Model for Predictive Analysis,"Software Development, Machine Learning, Database Management"
192,3.6986113649257737,1,Engineering,Research,Big Data Analysis with Spark,"AI and Deep Learning, Data Visualization, Web Development"
193,3.705792338876335,1,Computer Science,None,Sentiment Analysis on Social Media Data,"Data Cleaning, Cloud Computing, AI and Deep Learning"
194,3.846409987471527,0,Chemistry,None,Data Visualization Dashboard using Power BI,"Software Development, Machine Learning, AI and Deep Learning"
195,3.510383131700535,0,Mathematics,Volunteer Work,Data Visualization Dashboard using Power BI,"AI and Deep Learning, Cloud Computing, Statistical Analysis"
196,3.5185072451246886,0,Mathematics,Volunteer Work,Capstone Project: AI-Powered Chatbot,"Problem Solving, Data Visualization, AI and Deep Learning"
197,3.6563111557495125,1,Physics,Volunteer Work,Web Application Development using Flask,"Data Cleaning, Web Development, Software Development"
198,3.7573105696576303,1,Engineering,Internship,Web Application Development using Flask,"Database Management, Web Development, Statistical Analysis"
199,3.8621815131196007,1,Computer Science,Internship,Machine Learning Model for Predictive Analysis,"Data Cleaning, Web Development, Statistical Analysis"
200,4.0,1,Mathematics,Volunteer Work,Sentiment Analysis on Social Media Data,"Machine Learning, Statistical Analysis, AI and Deep Learning"
